ID,Site,Origin,iteration,tub,chamber,left,right,day1_silk_side,day1_spider_side,day1_retreat_side,day2_silk_side,day2_spider_side,day2_retreat_side,day3_silk_side,day3_spider_side,day3_retreat_side,day4_silk_side,day4_spider_side,day4_retreat_side,before_spider_mass,after_spider_mass,mass_difference,og_silk,side_w_more,loud_silk,quiet_silk,tunnel_silk,silk_total,percent_loud,percent_quiet,percent_tunnel,silk_total_notunnel,per_loud_notunnel,per_quiet_notunnel,diff
AP027,8A,Loud,3,14,z_front,loud,quiet,loud,loud,,loud,loud,,loud,loud,,loud,loud,,0.0754,0.0749,-0.0005,2.788,loud,0.582,0.153,0.336,1.071,54,14,31,0.735,79,21,58
AP028,8A,Loud,4,3,back,quiet,loud,quiet,quiet,quiet,quiet,quiet,quiet,quiet,quiet,NA,quiet,quiet,NA,0.0822,0.083,0.0008,4.879,quiet,0.259,0.897,0.082,1.238,21,72,7,1.156,22,78,55
AP010,8A,Loud,4,3,middle,loud,quiet,NA,quiet,NA,NA,quiet,NA,loud,quiet,NA,loud,loud,NA,0.0991,0.1014,0.0023,5.851,loud,0.454,0.353,0.072,0.879,52,40,8,0.807,56,44,13
AP032,8A,Loud,4,6,back,quiet,loud,loud,loud,loud,loud,loud,loud,loud,loud,loud,loud,loud,NA,0.1099,0.1137,0.0038,5.972,loud,0.864,0.258,0.079,1.201,72,21,7,1.122,77,23,54
AP052,8A,Loud,4,6,z_front,quiet,loud,quiet,tunnel,NA,NA,loud,NA,quiet,tunnel,NA,quiet,quiet,NA,0.21,0.1926,-0.0174,11.954,quiet,0.682,1.082,0.363,2.127,32,51,17,1.764,39,61,23
AP039,8A,Loud,4,9,z_front,loud,quiet,loud,loud,loud,loud,loud,loud,loud,loud,loud,loud,loud,NA,0.1224,0.1238,0.0014,6.288,loud,0.701,0.051,0.022,0.774,91,7,3,0.752,93,7,86
AP002,8A,Loud,4,14,back,quiet,loud,loud,loud,loud,loud,quiet,NA,loud,loud,NA,loud,quiet,NA,0.0718,0.0593,-0.0125,5.356,loud,0.854,0.209,0.128,1.191,72,18,11,1.063,80,20,61
AP036,8A,Loud,4,14,middle,loud,quiet,quiet,quiet,NA,quiet,loud,quiet,quiet,loud,loud,quiet,tunnel,NA,0.0967,0.0985,0.0018,4.963,quiet,0.508,1.175,0.061,1.744,29,67,3,1.683,30,70,40
AP034,8A,Loud,5,3,back,quiet,loud,quiet,quiet,NA,quiet,quiet,quiet,quiet,quiet,NA,quiet,quiet,NA,0.1117,0.1039,-0.0078,7.126,quiet,0.918,1.092,0.219,2.229,41,49,10,2.01,46,54,9
AP044,8A,Loud,5,3,z_front,quiet,loud,quiet,quiet,NA,quiet,quiet,NA,quiet,loud,quiet,quiet,loud,NA,0.1167,0.116,-0.0007,7.488,loud,0.456,0.374,0.104,0.934,49,40,11,0.83,55,45,10
AP055,8A,Loud,5,6,back,quiet,loud,loud,tunnel,loud,loud,loud,loud,quiet,quiet,quiet,quiet,quiet,NA,0.1692,0.1618,-0.0074,8.643,quiet,0.386,0.921,0.262,1.569,25,59,17,1.307,30,70,41
AP033,8A,Loud,5,13,middle,loud,quiet,loud,loud,NA,loud,quiet,NA,loud,loud,loud,loud,loud,NA,0.1033,0.0994,-0.0039,6.69,loud,0.732,0.232,0.091,1.055,69,22,9,0.964,76,24,52
